food_id,ingredient_id
178249,221
178249,125
178249,55
178249,495
178249,165
178249,359
178249,337
178249,151
178249,13
178249,317
178249,190
293197,193
293197,220
293197,459
293197,171
293197,330
293197,16
293197,148
293197,165
293197,983
293197,20
293197,349
293197,320
293197,359
293197,7
487593,495
487593,283
487593,151
487593,316
487593,13
487593,171
487593,330
487593,55
487593,125
487593,337
47961,258
47961,459
47961,148
47961,330
47961,495
47961,55
47961,165
47961,26
229948,495
229948,110
229948,359
229948,507
229948,337
537245,164
537245,171
537245,363
537245,330
537245,359
537245,125
537245,165
537245,525
537245,337
537245,495
537245,335
537245,151
537245,128
537245,148
537245,320
537245,20
537245,307
537245,316
537245,150
537245,657
537245,142
537245,190
158351,16
158351,335
158351,55
158351,165
158351,495
158351,20
158351,359
158351,78
537248,316
537248,128
537248,359
537248,495
537248,512
537248,165
537248,291
537248,125
537248,171
537248,317
537248,334
537248,507
537248,153
537248,467
537249,493
537249,332
537249,127
537249,165
537249,495
537249,359
537249,507
537249,330
537249,164
537249,52
537249,292
537249,32
537249,26
537249,334
537249,148
537249,151
537249,448
537249,337
537246,64
537246,359
537246,7
537246,495
537246,139
537246,155
537246,142
537246,350
537246,224
138183,151
138183,495
138183,493
138183,455
138183,148
138183,13
138183,359
138183,337
138183,78
138183,317
537247,304
537247,155
537247,350
537247,359
428004,106
428004,128
428004,150
428004,148
428004,495
428004,317
428004,334
428004,52
428004,165
12684,19
12684,55
12684,495
12684,363
12684,151
12684,401
12684,26
12684,39
12684,334
536387,310
536387,32
536387,171
536387,334
536387,165
536387,26
536387,359
536387,337
536387,495
536387,259
536387,151
536387,148
536387,235
536387,164
536387,55
131988,220
131988,49
131988,165
131988,55
131988,320
131988,495
131988,32
131988,13
131988,150
131988,20
131988,171
299973,220
299973,235
299973,151
299973,148
299973,165
299973,171
299973,317
299973,746
299973,495
299973,359
304166,55
304166,165
304166,235
304166,359
304166,164
304166,330
536714,214
536714,425
536714,141
536714,148
536714,363
536714,151
536714,171
536714,330
536714,125
536714,495
536714,286
536714,203
536714,142
536714,165
536714,359
536714,337
536714,20
536714,324
536714,213
39195,495
39195,128
39195,150
39195,148
39195,165
39195,13
39195,185
39195,375
39195,731
39195,317
39195,334
39195,493
39195,112
382432,209
382432,363
382432,164
382432,26
382432,493
382432,495
382432,151
111865,26
111865,151
111865,148
111865,171
111865,495
111865,493
111865,334
111865,190
220089,495
220089,148
220089,166
220089,165
220089,221
220089,213
220089,307
220089,106
220089,236
220089,57
220089,20
220089,349
220089,337
220089,324
220089,320
220089,151
220089,316
220089,220
220089,171
220089,16
316925,128
316925,359
316925,495
316925,148
316925,165
316925,151
316925,220
316925,13
316925,139
316925,171
280466,148
280466,213
280466,216
280466,165
280466,495
280466,38
280466,151
280466,154
280466,459
280466,163
280466,337
81419,495
81419,148
81419,459
81419,316
81419,213
81419,448
81419,197
81419,216
81419,317
81419,334
81419,359
81419,337
81419,119
81419,165
81419,158
514034,495
514034,352
514034,148
514034,165
514034,217
514034,153
514034,317
514034,507
514034,359
514034,337
514034,142
514034,467
379639,209
379639,459
379639,363
379639,148
379639,171
379639,330
379639,151
379639,495
379639,493
379639,473
379639,320
364493,148
364493,150
364493,495
364493,515
364493,165
364493,459
364493,154
364493,348
364493,337
156662,221
156662,495
156662,110
156662,148
156662,165
156662,154
156662,32
156662,119
156662,13
156662,141
156662,151
156662,171
183768,148
183768,55
183768,493
183768,258
183768,459
183768,495
183768,19
183768,171
183768,330
183768,363
455488,220
455488,165
455488,495
455488,49
455488,315
455488,147
455488,55
455488,125
455488,20
455488,359
455488,320
455488,151
455488,32
455488,26
455488,16
455488,171
455488,363
455488,317
455488,335
82509,258
82509,148
82509,216
82509,213
82509,106
82509,165
82509,20
82509,125
82509,154
82509,301
82509,55
182935,495
182935,165
182935,340
182935,507
182935,297
182935,125
244722,32
244722,119
244722,127
244722,317
244722,13
244722,364
244722,55
244722,495
244722,359
244722,337
244722,227
220025,495
220025,680
220025,347
220025,55
220025,332
220025,273
220025,151
220025,236
220025,13
131972,395
131972,151
131972,150
131972,338
131972,13
131972,467
131972,148
131972,171
131972,495
131972,502
131972,317
131972,337
131972,139
131972,340
131972,165
131972,334
323422,229
323422,220
323422,26
323422,363
323422,165
323422,495
323422,493
323422,317
221237,495
221237,332
221237,165
221237,359
221237,337
221237,220
221237,150
221237,112
221237,13
8892,363
8892,165
8892,164
8892,151
8892,301
8892,26
8892,13
8892,337
317056,235
317056,148
317056,119
317056,495
317056,165
317056,26
317056,147
179813,673
179813,151
179813,148
179813,498
179813,495
179813,26
179813,493
179813,165
179813,334
7968,154
7968,106
7968,213
7968,495
7968,148
7968,165
7968,448
7968,348
7968,340
7968,55
243354,127
243354,165
243354,332
243354,155
243354,13
243354,55
243354,680
243354,171
243354,337
243354,495
243354,151
243354,32
243354,26
243354,148
84978,495
84978,150
84978,220
84978,188
84978,190
84978,151
84978,567
84978,171
290384,32
290384,316
290384,148
290384,495
290384,142
290384,26
290384,317
290384,359
290384,337
290384,467
304676,495
304676,165
304676,334
304676,359
304676,337
304676,52
304676,127
304676,348
214004,26
214004,314
214004,334
214004,337
214004,55
214004,32
214004,235
538870,220
538870,165
538870,171
538870,330
538870,16
538870,20
538870,6
538870,359
538870,337
538870,507
538870,64
538870,55
538870,387
70005,151
70005,495
70005,165
70005,317
70005,334
